State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Kozhikode(Calicut),Mukkom Market,Snakeguard,Snakeguard,FAQ,20-09-2026,3600,4000,3800
Keralam,Kozhikode(Calicut),Mukkom Market,Tomato,Tomato,FAQ,20-09-2026,2100,2300,2200
Keralam,Kozhikode(Calicut),Mukkom Market,Drumstick,Drumstick,FAQ,20-09-2026,4600,4900,4700
Keralam,Kozhikode(Calicut),Mukkom Market,Onion,Onion,FAQ,20-09-2026,5200,5600,5400
Keralam,Kozhikode(Calicut),Mukkom Market,Potato,Potato,FAQ,20-09-2026,2400,2800,2600
Keralam,Kozhikode(Calicut),Mukkom Market,Pineapple,Other,Large,20-09-2026,8000,9000,8500
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bottle gourd,Bottle Gourd,Medium,20-09-2026,1300,1300,1300
Telangana,Ranga Reddy,"Saroornagar,RBZ",Field Bean(Anumulu),Field Bean(Anumulu),Grade B,20-09-2026,4500,4500,4500
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bhindi(Ladies Finger),Other,Medium,20-09-2026,4000,4000,4000
Telangana,Ranga Reddy,"Saroornagar,RBZ",French Beans(Frasbean),Other,Medium,20-09-2026,5500,5500,5500
Keralam,Idukki,Kattappana Market,Amaranthus,Other,Medium,20-09-2026,2800,3000,3000
Keralam,Idukki,Kattappana Market,Ashgourd,Other,Medium,20-09-2026,3000,3200,3200
Keralam,Idukki,Kattappana Market,Beetroot,Other,Medium,20-09-2026,3800,4200,4000
Keralam,Idukki,Kattappana Market,Little gourd(Kundru),Other,Medium,20-09-2026,4000,4500,4300
Keralam,Idukki,Kattappana Market,Apple,Other,Grade A,20-09-2026,32000,33500,33000
Keralam,Idukki,Kattappana Market,Water Melon,Other,Medium,20-09-2026,1800,2100,2100
Punjab,Gurdaspur,Quadian APMC,Apple,Other,Grade A,20-09-2026,3800,4000,3900
Punjab,Gurdaspur,Quadian APMC,Banana,Other,FAQ,20-09-2026,2300,2500,2400
Punjab,Gurdaspur,Quadian APMC,Bhindi(Ladies Finger),Other,Grade A,20-09-2026,3600,3800,3700
Rajasthan,Jhunjhunu,Surajgarh APMC,Bajra(Pearl Millet/Cumbu),Other,Local,20-09-2026,2350,2350,2350
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,20-09-2026,3500,4000,3800
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,20-09-2026,2000,2200,2100
Keralam,Alappuzha,Harippad Market,Beetroot,Beetroot,FAQ,20-09-2026,6000,6500,6000
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Brinjal,Other,Local,20-09-2026,4000,5000,4500
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Papaya,Papaya,Local,20-09-2026,2500,3000,2750
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Tomato,Local,Local,20-09-2026,1500,1800,1650
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,20-09-2026,2500,3000,2750
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,20-09-2026,3000,4000,3500
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Beans,Beans (Whole),Local,20-09-2026,5000,6000,5500
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Drumstick,Drumstick,Local,20-09-2026,2000,3000,2500
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Onion Green,Onion Green,Local,20-09-2026,8000,10000,9000
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Onion,Bellary,Local,20-09-2026,6000,6500,6250
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,20-09-2026,3600,4000,3800
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,20-09-2026,1500,1800,1650
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,20-09-2026,2200,2500,2350
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,20-09-2026,2500,2800,2650
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,20-09-2026,11500,12500,12000
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Carrot,Pusakesar,Local,20-09-2026,5500,5800,5650
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Guava,Guava Allahabad,Local,20-09-2026,5500,6000,5750
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Onion Green,Onion Green,Local,20-09-2026,7000,8000,7500
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,20-09-2026,1500,1600,1550
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Tapioca,Tapioca,Local,20-09-2026,2800,3000,2900
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Yam(Ratalu),Yam (Ratalu),Local,20-09-2026,11200,12000,11600
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Lemon,Lemon,Local,20-09-2026,21000,22000,21500
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Onion Green,Onion Green,Local,20-09-2026,6500,7000,6750
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,20-09-2026,6600,7000,6800
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Onion,Bellary,Local,20-09-2026,6200,6400,6300
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Potato,Other,Local,20-09-2026,2500,2800,2650
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,20-09-2026,2000,2200,2100
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Beans,Beans (Whole),Local,20-09-2026,8600,9000,8800
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,20-09-2026,19500,20000,19750
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,20-09-2026,2600,3000,2800
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Thondekai,Thondekai,Local,20-09-2026,4200,4500,4350
