State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Price_Range,Price_Range_Percent,Price_Valid,Low_Price_Flag,High_Price_Flag
Keralam,Kozhikode(Calicut),Mukkom Market,Snakeguard,Snakeguard,FAQ,2026-09-20 00:00:00,3600,4000,3800,400,11.11%,Valid,Normal,Normal
Keralam,Kozhikode(Calicut),Mukkom Market,Tomato,Tomato,FAQ,2026-09-20 00:00:00,2100,2300,2200,200,9.52%,Valid,Normal,Normal
Keralam,Kozhikode(Calicut),Mukkom Market,Drumstick,Drumstick,FAQ,2026-09-20 00:00:00,4600,4900,4700,300,6.52%,Valid,Normal,Normal
Keralam,Kozhikode(Calicut),Mukkom Market,Onion,Onion,FAQ,2026-09-20 00:00:00,5200,5600,5400,400,7.69%,Valid,Normal,Normal
Keralam,Kozhikode(Calicut),Mukkom Market,Potato,Potato,FAQ,2026-09-20 00:00:00,2400,2800,2600,400,16.67%,Valid,Normal,Normal
Keralam,Kozhikode(Calicut),Mukkom Market,Pineapple,Other,Large,2026-09-20 00:00:00,8000,9000,8500,1000,12.50%,Valid,Normal,Normal
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bottle gourd,Bottle Gourd,Medium,2026-09-20 00:00:00,1300,1300,1300,0,0.00%,Valid,Normal,Normal
Telangana,Ranga Reddy,"Saroornagar,RBZ",Field Bean(Anumulu),Field Bean(Anumulu),Grade B,2026-09-20 00:00:00,4500,4500,4500,0,0.00%,Valid,Normal,Normal
Telangana,Ranga Reddy,"Saroornagar,RBZ",Bhindi(Ladies Finger),Other,Medium,2026-09-20 00:00:00,4000,4000,4000,0,0.00%,Valid,Normal,Normal
Telangana,Ranga Reddy,"Saroornagar,RBZ",French Beans(Frasbean),Other,Medium,2026-09-20 00:00:00,5500,5500,5500,0,0.00%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Amaranthus,Other,Medium,2026-09-20 00:00:00,2800,3000,3000,200,7.14%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Ashgourd,Other,Medium,2026-09-20 00:00:00,3000,3200,3200,200,6.67%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Beetroot,Other,Medium,2026-09-20 00:00:00,3800,4200,4000,400,10.53%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Little gourd(Kundru),Other,Medium,2026-09-20 00:00:00,4000,4500,4300,500,12.50%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Apple,Other,Grade A,2026-09-20 00:00:00,32000,33500,33000,1500,4.69%,Valid,Normal,Normal
Keralam,Idukki,Kattappana Market,Water Melon,Other,Medium,2026-09-20 00:00:00,1800,2100,2100,300,16.67%,Valid,Normal,Normal
Punjab,Gurdaspur,Quadian APMC,Apple,Other,Grade A,2026-09-20 00:00:00,3800,4000,3900,200,5.26%,Valid,Normal,Normal
Punjab,Gurdaspur,Quadian APMC,Banana,Other,FAQ,2026-09-20 00:00:00,2300,2500,2400,200,8.70%,Valid,Normal,Normal
Punjab,Gurdaspur,Quadian APMC,Bhindi(Ladies Finger),Other,Grade A,2026-09-20 00:00:00,3600,3800,3700,200,5.56%,Valid,Normal,Normal
Rajasthan,Jhunjhunu,Surajgarh APMC,Bajra(Pearl Millet/Cumbu),Other,Local,2026-09-20 00:00:00,2350,2350,2350,0,0.00%,Valid,Normal,Normal
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,2026-09-20 00:00:00,3500,4000,3800,500,14.29%,Valid,Normal,Normal
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,2026-09-20 00:00:00,2000,2200,2100,200,10.00%,Valid,Normal,Normal
Keralam,Alappuzha,Harippad Market,Beetroot,Beetroot,FAQ,2026-09-20 00:00:00,6000,6500,6000,500,8.33%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Brinjal,Other,Local,2026-09-20 00:00:00,4000,5000,4500,1000,25.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Papaya,Papaya,Local,2026-09-20 00:00:00,2500,3000,2750,500,20.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Tomato,Local,Local,2026-09-20 00:00:00,1500,1800,1650,300,20.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,2026-09-20 00:00:00,2500,3000,2750,500,20.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,2026-09-20 00:00:00,3000,4000,3500,1000,33.33%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Beans,Beans (Whole),Local,2026-09-20 00:00:00,5000,6000,5500,1000,20.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Drumstick,Drumstick,Local,2026-09-20 00:00:00,2000,3000,2500,1000,50.00%,Valid,Normal,Normal
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Onion Green,Onion Green,Local,2026-09-20 00:00:00,8000,10000,9000,2000,25.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Onion,Bellary,Local,2026-09-20 00:00:00,6000,6500,6250,500,8.33%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,2026-09-20 00:00:00,3600,4000,3800,400,11.11%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,2026-09-20 00:00:00,1500,1800,1650,300,20.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,2026-09-20 00:00:00,2200,2500,2350,300,13.64%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,2026-09-20 00:00:00,2500,2800,2650,300,12.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,2026-09-20 00:00:00,11500,12500,12000,1000,8.70%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Carrot,Pusakesar,Local,2026-09-20 00:00:00,5500,5800,5650,300,5.45%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Guava,Guava Allahabad,Local,2026-09-20 00:00:00,5500,6000,5750,500,9.09%,Valid,Normal,Normal
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Onion Green,Onion Green,Local,2026-09-20 00:00:00,7000,8000,7500,1000,14.29%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,2026-09-20 00:00:00,1500,1600,1550,100,6.67%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2026-09-20 00:00:00,2800,3000,2900,200,7.14%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Yam(Ratalu),Yam (Ratalu),Local,2026-09-20 00:00:00,11200,12000,11600,800,7.14%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Lemon,Lemon,Local,2026-09-20 00:00:00,21000,22000,21500,1000,4.76%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Onion Green,Onion Green,Local,2026-09-20 00:00:00,6500,7000,6750,500,7.69%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,2026-09-20 00:00:00,6600,7000,6800,400,6.06%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Onion,Bellary,Local,2026-09-20 00:00:00,6200,6400,6300,200,3.23%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Potato,Other,Local,2026-09-20 00:00:00,2500,2800,2650,300,12.00%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,2026-09-20 00:00:00,2000,2200,2100,200,10.00%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Beans,Beans (Whole),Local,2026-09-20 00:00:00,8600,9000,8800,400,4.65%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,2026-09-20 00:00:00,19500,20000,19750,500,2.56%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,2026-09-20 00:00:00,2600,3000,2800,400,15.38%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Thondekai,Thondekai,Local,2026-09-20 00:00:00,4200,4500,4350,300,7.14%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Drumstick,Drumstick,Local,2026-09-20 00:00:00,2200,2500,2350,300,13.64%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,2026-09-20 00:00:00,2500,2800,2650,300,12.00%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,2026-09-20 00:00:00,2200,2500,2350,300,13.64%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,2026-09-20 00:00:00,4500,5000,4750,500,11.11%,Valid,Normal,Normal
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Guava,Guava Allahabad,Local,2026-09-20 00:00:00,5500,6000,5750,500,9.09%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,2026-09-20 00:00:00,4000,5000,4500,1000,25.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,2026-09-20 00:00:00,2800,3000,2900,200,7.14%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Papaya,Papaya,Local,2026-09-20 00:00:00,4500,5000,4750,500,11.11%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,2026-09-20 00:00:00,18000,20000,19000,2000,11.11%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Coconut,Coconut,Local,2026-09-20 00:00:00,6500,7000,6750,500,7.69%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Carrot,Pusakesar,Local,2026-09-20 00:00:00,6600,7000,6800,400,6.06%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Cabbage,Cabbage,Local,2026-09-20 00:00:00,3600,4000,3800,400,11.11%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Thondekai,Thondekai,Local,2026-09-20 00:00:00,3600,4000,3800,400,11.11%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Drumstick,Drumstick,Local,2026-09-20 00:00:00,3000,4000,3500,1000,33.33%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Tomato,Deshi,Local,2026-09-20 00:00:00,1000,2000,1500,1000,100.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Cabbage,Cabbage,Local,2026-09-20 00:00:00,2500,3200,2850,700,28.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,2026-09-20 00:00:00,1600,2400,2000,800,50.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Beetroot,Beetroot,Local,2026-09-20 00:00:00,3000,7000,5000,4000,133.33%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Yam(Ratalu),Yam (Ratalu),Local,2026-09-20 00:00:00,6000,7500,6750,1500,25.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Amla(Nelli Kai),Amla,Local,2026-09-20 00:00:00,5000,7000,6000,2000,40.00%,Valid,Normal,Normal
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,2026-09-20 00:00:00,6000,7000,6500,1000,16.67%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,2026-09-20 00:00:00,2500,3000,2750,500,20.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,2026-09-20 00:00:00,4000,4500,4250,500,12.50%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,2026-09-20 00:00:00,5000,5500,5250,500,10.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Cowpea(Veg),Cowpea (Veg),Local,2026-09-20 00:00:00,3000,3500,3250,500,16.67%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,2026-09-20 00:00:00,3000,3500,3250,500,16.67%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Tapioca,Tapioca,Local,2026-09-20 00:00:00,2000,2500,2250,500,25.00%,Valid,Normal,Normal
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,2026-09-20 00:00:00,4000,4600,4300,600,15.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Brinjal,Round,Local,2026-09-20 00:00:00,4000,4000,4000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Groundnut,Big (With Shell),Local,2026-09-20 00:00:00,6000,6000,6000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Banana,Besrai,Local,2026-09-20 00:00:00,4000,4000,4000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Onion,Bellary,Local,2026-09-20 00:00:00,7000,7000,7000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,2026-09-20 00:00:00,3000,3000,3000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Coconut,Coconut,Local,2026-09-20 00:00:00,6000,6000,6000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Raddish,Raddish,Local,2026-09-20 00:00:00,5000,5000,5000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Drumstick,Drumstick,Local,2026-09-20 00:00:00,5000,5000,5000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Guava,Guava Allahabad,Local,2026-09-20 00:00:00,7000,7000,7000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Tender Coconut,Tender Coconut,Local,2026-09-20 00:00:00,3000,3000,3000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Onion Green,Onion Green,Local,2026-09-20 00:00:00,7000,7000,7000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,2026-09-20 00:00:00,3000,3000,3000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ),Carrot,Pusakesar,Local,2026-09-20 00:00:00,5000,5000,5000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ),Cabbage,Cabbage,Local,2026-09-20 00:00:00,3000,3000,3000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,2026-09-20 00:00:00,3000,3000,3000,0,0.00%,Valid,Normal,Normal
Tamil Nadu,Kancheepuram,Kundrathur(Uzhavar Sandhai ),Onion Green,Onion Green,Local,2026-09-20 00:00:00,7000,8000,7500,1000,14.29%,Valid,Normal,Normal
Tamil Nadu,Kancheepuram,Sunguvarchatram(Uzhavar Sandhai ),Potato,Other,Local,2026-09-20 00:00:00,2800,2800,2800,0,0.00%,Valid,Normal,Normal
